VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/01/2020 12:55:09 AM,01/01/2020 12:59:11 AM,1,0.65,1,N,148,144,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,01/01/2020 12:48:19 AM,01/01/2020 01:01:58 AM,1,1.08,1,N,43,162,1,9,0.5,0.5,3.2,0,0.3,16,2.5
1,01/01/2020 12:35:41 AM,01/01/2020 12:46:53 AM,1,1.2,1,N,249,79,1,8.5,3,0.5,2.45,0,0.3,14.75,2.5
2,01/01/2020 12:16:32 AM,01/01/2020 12:28:26 AM,1,1.26,1,N,249,79,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2020 12:41:11 AM,01/01/2020 12:48:14 AM,1,0.3,1,N,48,48,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2020 12:34:05 AM,01/01/2020 12:51:26 AM,1,9,1,N,161,138,1,26,0.5,0.5,7.18,6.12,0.3,43.1,2.5
1,01/01/2020 12:59:37 AM,01/01/2020 01:05:42 AM,1,1.1,1,N,79,4,1,6,3,0.5,1.96,0,0.3,11.76,2.5
2,01/01/2020 12:44:55 AM,01/01/2020 12:51:10 AM,2,1.85,1,N,48,238,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,01/01/2020 01:53:34 AM,01/01/2020 01:54:17 AM,4,0,5,N,129,129,2,0,0,0,0,0,0.3,0.3,0
2,01/01/2020 01:35:35 AM,01/01/2020 01:44:55 AM,2,1.49,1,N,158,211,1,8,0.5,0.5,2.95,0,0.3,14.75,2.5
1,01/01/2020 01:30:10 AM,01/01/2020 01:37:37 AM,2,1.1,1,N,181,181,1,7,0.5,0.5,2.05,0,0.3,10.35,0
1,01/01/2020 01:42:54 AM,01/01/2020 01:56:40 AM,1,2.2,1,N,162,48,1,11,3,0.5,2.95,0,0.3,17.75,2.5
1,01/01/2020 01:33:10 AM,01/01/2020 02:06:57 AM,1,5.9,1,N,161,226,2,25,3,0.5,0,0,0.3,28.8,2.5
1,01/01/2020 02:05:37 AM,01/01/2020 02:19:43 AM,1,1.9,1,N,224,68,1,10.5,3,0.5,2,0,0.3,16.3,2.5
2,01/01/2020 12:22:33 AM,01/01/2020 12:28:55 AM,2,1.2,1,N,263,43,1,6.5,0.5,0.5,2,0,0.3,12.3,2.5
